Ref,Val,Package,PosX,PosY,Rot,Side
R26,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.964,39.68,180,top
R27,50,R_0805_2012Metric,39.37,34.798,90,top
R28,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.9115,24.13,0,top
R29,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10.811,12.319,180,top
R30,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10.795,5.588,180,top
U1,LM1117MPX-3.3/NOPB,DCY0004A_M,39.3,19.256,90,top
U2,SOT-143,SOT-143,75.057,12.446,90,top
U3,CP2102N-Axx-xQFN20,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,69.734,12.08,180,top
U4,BME280_ADJ,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,21.649,16.4065,-90,top
U5,IP4252CZ16-8-TTL_1,QFN16_SOT1168-1_NEX,13.887001,31.0181,90,top
U6,MCP73871,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,53.156,13.12,0,top
U7,FDC1004DSCJ,DSC0010B,17.430001,8.89,0,top
U8,W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,45.18775,35.1265,0,top
U9,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,66.36825,35.0575,0,top
